Year,Sex,Value
2015,,171615.0
2016,,174445.0
2017,,177817.0
2015,Male,203657.0
2016,Male,209271.0
2017,Male,211720.0
2015,Female,135492.0
2016,Female,138901.0
2017,Female,143016.0
