Year,Age,Location,Value
2015,Aged 10-14 years,,0.03
2016,Aged 10-14 years,,0.05
2017,Aged 10-14 years,,0.02
2015,,Urban,0.04
2016,,Urban,0.04
2017,,Urban,0.04
2015,,Rural,0.0
2016,,Rural,0.06
2017,,Rural,0.0
2015,Aged 15-19 years,,24.3
2016,Aged 15-19 years,,24.0
2017,Aged 15-19 years,,21.1
2015,,Urban,18.5
2016,,Urban,18.1
2017,,Urban,14.4
2015,,Rural,32.6
2016,,Rural,32.7
2017,,Rural,31.1
