Year,Sex,Age,Value
2015,,,78.0
2016,,,64.0
2017,,,45.0
2015,Male,,38.0
2016,Male,,39.0
2017,Male,,21.0
2015,Female,,40.0
2016,Female,,25.0
2017,Female,,24.0
2015,,up to 1 year old,11.0
2016,,up to 1 year old,6.0
2017,,up to 1 year old,2.0
2015,Male,up to 1 year old,6.0
2016,Male,up to 1 year old,5.0
2017,Male,up to 1 year old,0.0
2015,Female,up to 1 year old,5.0
2016,Female,up to 1 year old,1.0
2017,Female,up to 1 year old,2.0
2015,,aged 1-6 years,32.0
2016,,aged 1-6 years,19.0
2017,,aged 1-6 years,15.0
2015,Male,aged 1-6 years,15.0
2016,Male,aged 1-6 years,11.0
2017,Male,aged 1-6 years,8.0
2015,Female,aged 1-6 years,17.0
2016,Female,aged 1-6 years,8.0
2017,Female,aged 1-6 years,7.0
2015,,aged 7-9 years,14.0
2016,,aged 7-9 years,13.0
2017,,aged 7-9 years,7.0
2015,Male,aged 7-9 years,6.0
2016,Male,aged 7-9 years,6.0
2017,Male,aged 7-9 years,4.0
2015,Female,aged 7-9 years,8.0
2016,Female,aged 7-9 years,7.0
2017,Female,aged 7-9 years,3.0
2015,,aged 10-15 years,18.0
2016,,aged 10-15 years,20.0
2017,,aged 10-15 years,15.0
2015,Male,aged 10-15 years,8.0
2016,Male,aged 10-15 years,15.0
2017,Male,aged 10-15 years,6.0
2015,Female,aged 10-15 years,10.0
2016,Female,aged 10-15 years,5.0
2017,Female,aged 10-15 years,9.0
2015,,aged 16-17 years,3.0
2016,,aged 16-17 years,6.0
2017,,aged 16-17 years,6.0
2015,Male,aged 16-17 years,3.0
2016,Male,aged 16-17 years,2.0
2017,Male,aged 16-17 years,3.0
2015,Female,aged 16-17 years,0.0
2016,Female,aged 16-17 years,4.0
2017,Female,aged 16-17 years,3.0
