Year,Category,Value
2015,Arable land,446.7
2016,Arable land,446.4
2017,Arable land,446.0
2015,Sown areas,337.5
2016,Sown areas,353.4
2017,Sown areas,294.5
2015,Perennial plants,57.6
2016,Perennial plants,57.6
2017,Perennial plants,58.1
